KOD_DISC,NAME_DISC,NAME_DIV
"7431","Бізнес-планування підприємницької діяльності","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7431","Бізнес-планування підприємницької діяльності","Кафедра фінансів і підприємництва"
"7432","Бізнес-планування підприємницької діяльності - КР","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7433","Управління ефективністю інвестиційних проектів","Кафедра фінансів і підприємництва"
"7444","Міжнародні валютно-кредитні відносини","Кафедра міжнародних економічних відносин"
"7445","Міжнародний банкінг та фінансування - КР","Кафедра міжнародних економічних відносин"
"7446","Міжнародні стандарти бухгалтерського обліку і фінансової звітності","Кафедра бухгалтерського обліку та оподаткування"
"7448","Міжнародні логістичні послуги","Кафедра міжнародних економічних відносин"
"7449","Валютні дилінгові операції","Кафедра міжнародних економічних відносин"
"7450","Міжнародна проектна діяльність","Кафедра міжнародних економічних відносин"
"7451","Міжнародна проектна діяльність - КР","Кафедра міжнародних економічних відносин"
"7452","Управління міжнародним маркетингом - КР","Кафедра міжнародних економічних відносин"
"7453","Аналіз і візуалізація фінансових даних","Кафедра фінансів, банківської справи та страхування"
"7454","Аналіз і візуалізація фінансових даних - КР","Кафедра фінансів, банківської справи та страхування"
"7456","Хмарні технології","секція ""Інформаційні технології проектування"""
"7457","Теорія і методи машинної графіки","секція ""Інформаційні технології проектування"""
"7458","Техніка телекомунікаційних систем зв'язку НВЧ та оптичного діапазону","Кафедра наноелектроніки"
"7459","Самоорганізація у наносистемах","Кафедра наноелектроніки"
"7462","Основи волоконної та інтегральної оптики","Кафедра електроніки, загальної та прикладної фізики"
"7463","Наноматеріали і нанотехнології в медицині та техніці","Кафедра наноелектроніки"
"7464","Ультразвукові технології в медицині","Кафедра наноелектроніки"
"7466","Основи права. Суспільні та соціальні функції держави","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"7467","Медична соціологія. Методи соціальних досліджень","Кафедра психології, політології та соціокультурних технологій"
"7468","Інформатика та інформаційні технології","Кафедра прикладної математики та моделювання складних систем"
"7469","Гігієна навколишнього середовища та основи біобезпеки","Кафедра прикладної екології"
